"date","day","field","harvest","plant","shoot","shoot_height"
2017-06-06,2,"B","N","2","2",5
2017-06-06,2,"B","N","2","3",6
2017-06-06,2,"B","N","2","4",2.9
2017-06-06,2,"B","N","2","5",2.3
2017-06-06,2,"B","N","2","6",6
2017-06-06,2,"B","N","2","7",2.6
2017-06-06,2,"B","N","3","1",3.2
2017-06-06,2,"B","N","3","2",7.1
2017-06-06,2,"B","N","3","3",3.8
2017-06-06,2,"B","N","3","4",2
2017-06-06,2,"B","N","3","5",6.7
2017-06-06,2,"B","N","3","6",5.4
2017-06-06,2,"B","N","3","7",1.9
2017-06-06,2,"B","N","4","1",7.1
2017-06-06,2,"B","N","4","2",3
2017-06-06,2,"B","N","4","3",3.9
2017-06-06,2,"B","N","4","4",8.4
2017-06-06,2,"B","N","4","5",8.6
2017-06-06,2,"B","N","4","6",1.9
2017-06-06,2,"B","N","4","7",2.8
2017-06-06,2,"B","N","5","1",2.5
2017-06-06,2,"B","N","5","2",3.8
2017-06-06,2,"B","N","5","3",2.9
2017-06-06,2,"B","N","5","4",1.9
2017-06-06,2,"B","N","5","5",1.2
2017-06-06,2,"B","N","5","6",3.5
2017-06-06,2,"B","N","5","7",5.1
2017-06-06,2,"B","N","6","1",6.9
2017-06-06,2,"B","N","6","2",3.8
2017-06-06,2,"B","N","6","3",4.1
2017-06-06,2,"B","N","6","4",2.7
2017-06-06,2,"B","N","6","5",1.7
2017-06-06,2,"B","N","6","6",4.3
2017-06-06,2,"B","N","6","7",2.6
2017-06-06,2,"B","N","7","1",1.6
2017-06-06,2,"B","N","7","2",1.2
2017-06-06,2,"B","N","7","3",2
2017-06-06,2,"B","N","7","4",9.7
2017-06-06,2,"B","N","7","5",2.3
2017-06-06,2,"B","N","7","6",1.5
2017-06-06,2,"B","N","7","7",4
2017-06-06,2,"B","N","8","1",4.2
2017-06-06,2,"B","N","8","2",4
2017-06-06,2,"B","N","8","3",3.4
2017-06-06,2,"B","N","8","4",3.1
