"date","field","plant","shoot","diameter"
2017-06-08,"B","8","7",1.7
2017-06-08,"B","9","1",1.8
2017-06-08,"B","9","2",2.1
2017-06-08,"B","9","3",2
2017-06-08,"B","9","4",1.9
2017-06-08,"B","9","5",1.9
2017-06-08,"B","9","6",2
2017-06-08,"B","9","7",1.5
2017-06-08,"B","10","1",1.9
2017-06-08,"B","10","2",2.1
2017-06-08,"B","10","3",2
2017-06-08,"B","10","4",2
2017-06-08,"B","10","5",2.5
2017-06-08,"B","10","6",2
2017-06-08,"B","10","7",2
